"iso3","inc.num","inc.num.sd","e.pop.014"
"QAT",60.28886389,7.261904928,331550
"ROU",1459.095854,173.6595017,3061238
"RUS",10022.65036,1093.278137,23451441
"RWA",859.0309294,95.57335698,4697329
"SAU",324.7549264,43.87332491,8902978
"SDN",4559.877508,1063.321569,16076478
"SEN",766.0034752,87.33957175,6425836
"SGP",368.9227577,44.39559399,874479
"SLB",1.296757216,0.113605497,227798
"SLE",292.8087167,51.37560736,2694137
"SLV",199.8776921,19.61321852,1686656
"SMR",0.995,0.07053368,4605
"SOM",4486.144835,546.499363,4933142
"SRB",217.5628082,27.30638829,1465565
"SSD",1.075750246,0.103717148,5051350
"STP",12.79404199,1.424345324,79853
"SUR",18.88580285,2.91017184,146024
"SVK",43.52890055,5.740924444,816897
"SVN",7.567647363,1.04412293,301491
"SWE",96.63292907,13.18950548,1655771
"SWZ",1311.336552,263.9774309,477085
"SXM",0.995,0.07053368,9558
"SYC",1.067557981,0.386006349,22285
"SYR",283.3838663,47.62301356,6910749
"TCA",0.995,0.07053368,8555
"TCD",3144.49234,346.938668,6519609
"TGO",1136.786318,160.5763278,3018754
"THA",590.1955627,152.2606074,12170015
"TJK",1.681871328,0.129641508,2897393
"TKL",0.995,0.07053368,368
"TKM",1.086868469,0.104227635,1507183
"TLS",742.1424073,118.9174396,489415
"TON",1.516199389,0.485038307,39039
"TTO",31.37883919,3.891231541,281498
"TUN",362.3952002,38.55801378,2593097
"TUR",1130.503685,143.8142084,20113502
"TUV",0.99,0.099498744,2976
"TZA",8382.967516,2006.71114,23444728
"UGA",23093.31822,2778.758501,18258937
"UKR",6351.103507,701.8694472,6569549
"URY",109.2847416,13.13371994,739080
"USA",721.5188923,111.8289734,60878536
"UZB",2151.506869,381.5189078,8409191
"VCT",1.337149026,0.426103221,27170
"VEN",807.5210892,97.87580935,8720637
"VGB",0.995,0.07053368,7500
"VIR",0.995,0.07053368,21663
"VNM",11836.41803,1745.085298,21356401
"VUT",16.67079356,2.808093433,95211
"WLF",0.995,0.07053368,3971
"WSM",7.774772419,1.360465006,71943
"YEM",1416.645907,171.7405417,10647262
"ZAF",50383.68724,7050.468762,15934979
"ZMB",6606.29656,1305.674686,7246346
"ZWE",8220.318961,1619.643123,6339805
